also,amazon,android,another,app,apps,back,battery,best,better,bought,buy,call,came,camera,can,card,case,charge,charger,condition,could,day,days,device,easy,even,ever,everything,excellent,far,fast,features,first,galaxy,get,go,good,google,got,great,happy,iphone,issue,issues,last,life,like,little,lot,love,make,many,months,much,need,never,new,nice,nokia,note,old,one,perfect,phone,phones,price,problem,problems,product,purchase,quality,really,recommend,samsung,screen,seller,service,sim,since,still,thing,time,two,unlocked,update,use,used,using,ve,verizon,want,way,well,windows,without,work,working,works,would,Target
0,0,0,0,0,0,0.680705285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284834553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674914508,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340840631,0,0.44088988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558340526,0,0,0,0,0,0,0,0.445542385,0,0,0,0,0,0,0,0,0,0.423310309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49886781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300740972,0,0,0.525670138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496244123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371615999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353193083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935550451,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476700537,0,0,0,0,0,0,0,0,0,0,0.366574188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33665207,0,0.335741262,0.311568333,0.365909621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32140421,0,0,0,0,0,0,0,0,0,0,0,0.279388276,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.178635929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25385185,0,0,0,0,0,0,0,0,0,0.19628012,0,0,0,0,0,0,0,0,0,0,0.221202264,0.539289982,0.257938432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457895484,0.213645452,0,0,0,0,0,0,0.219233786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18909901,0.226154761,0,0,0,0,0.261812297,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0.273358816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199776927,0,0,0,0,0,0,0,0,0,0,0,0,0.117090518,0,0,0,0,0.200538989,0.169248116,0,0,0,0,0,0,0,0,0.378700829,0.1896983,0,0,0,0,0,0.139421394,0,0.350348802,0.163466186,0,0,0,0,0,0,0.167741978,0.19699821,0,0,0,0,0,0,0.172291158,0,0.159371838,0,0,0,0.289370015,0,0,0,0,0,0,0.33206012,0,0,0.16032456,0,0.149185835,0.300833796,1
0,0,0,0,0,0,0,0.380880121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418500333,0,0,0,0,0,0,0,0,0,0,0,0,0.549965629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390522306,0,0.474149703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.304484728,0,0,0,0,0,0.147238939,0.420626598,0,0,0.072351306,0,0,0.078482238,0,0,0,0.088938772,0,0,0,0.241881031,0.159333786,0,0,0,0,0,0,0,0,0,0.088020391,0,0,0,0.165512526,0.16924699,0,0.145951467,0,0,0,0,0,0.088164637,0.074407968,0,0,0,0,0.0862969,0,0,0.078002921,0,0.083398654,0,0,0,0,0,0,0,0.462080343,0,0.07480418,0,0.088665156,0,0,0.079467357,0.073745812,0.086607974,0,0,0,0,0.081721885,0.085838834,0.075745806,0,0,0.17492972,0,0,0.381654497,0,0,0,0,0,0,0,0,0,0.070484831,0,0,0.198387125,0
0,0,0,0,0,0,0,0,0,0,0.254059209,0.259722831,0,0,0,0,0.276686737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108171986,0.252355108,0,0,0,0,0,0,0,0,0,0,0,0.621824338,0.573927375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0.318953587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135802371,0,0,0,0,0,0,0,0,0,0,0,0.39202262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62145083,0,0,0.583046702,-1
0,0,0,0,0,0,0.691425482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289320316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661985316,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64305375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540124442,0,0.542906495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.363430153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372146377,0,0,0.360907628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346276913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361091997,0,0,0,0,0,0.255564943,0,0,0,0,0,0,0.257797616,0,0.313003026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345155335,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182419473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141551917,0.17742321,0,0,0,0,0,0,0,0,0,0,0.259280906,0,0,0,0,0,0.177523043,0.167232403,0,0,0.130944775,0,0.41289801,0,0.180755586,0.131411867,0,0.660443693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188811952,0,0,0,0,0,0.281230714,0,0
0.135930831,0,0,0.154101776,0,0,0.131463482,0,0,0,0,0,0.161942663,0,0,0,0,0,0,0,0,0,0,0,0,0.152483432,0.128194715,0,0,0,0,0,0,0,0,0.117901313,0,0.100742366,0,0.130313952,0,0.299691249,0,0,0.153885798,0,0,0,0,0.160675805,0,0.154101776,0,0,0,0,0,0.10906642,0,0,0,0,0.10945547,0,0.495086622,0.1283323,0,0,0.158330809,0,0,0,0,0,0.131560006,0.223367592,0,0,0,0,0.135260516,0,0,0,0,0,0,0,0,0,0.288284591,0,0.157265104,0,0,0.1550794,0.377597719,0,0,0,0
0.416366386,0,0,0,0,0,0.044742507,0.073039252,0,0.047693269,0,0,0.220463374,0,0,0.154439777,0.047888077,0,0,0,0,0.049001366,0.048417851,0,0,0.051896473,0.174520036,0,0.049196823,0,0.097860219,0,0.053494721,0.048048007,0,0.040126735,0.100590854,0.034286829,0.056757046,0,0.031285634,0,0,0.054684679,0,0,0.04522172,0.220500641,0.158195752,0,0,0.052447262,0.109497652,0,0,0.151778671,0,0,0.049067894,0,0,0.051240079,0.149009049,0,0.393163468,0.131030505,0,0.051623534,0,0,0,0,0.134457876,0,0.044775358,0.038010655,0,0,0,0,0,0.053206812,0.340662868,0.053157094,0,0,0.270610599,0.046234189,0.050132522,0.048393504,0.049057636,0.154757741,0.160571625,0.133085644,0,0,0.214187091,0,0.079722483,0.080380343,0
0.5411045,0,0,0,0,0,0,0,0,0,0,0,0.322325345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312844786,0,0,0,0,0,0,0,0.182962867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277240387,0,0,0,0.286956069,0,0,0,0,0,0.218978692,0,0,0,0,0,0,0,0,0,0,0.222291751,0,0.314698577,0,0,0,0,0.249030655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233114248,0,0
